,config_idx,config_name,n_ae_layers,latent_percent,n_header_layers,unit_type,mask_percent,activation,loss,optimizer,learning_rate,batch_size,epochs_ae,epochs_header,test_mae,final_ae_loss,final_header_loss,baseline_lstm_mae,mae_diff_lstm,better_than_LSTM,baseline_gru_mae,mae_diff_gru,better_than_GRU,status
160,161,ae3_lat25_hd3_lstm_m20_relu_adam_lr0.001_bs64_mae,3,0.25,3,LSTM,0.2,relu,mae,adam,0.001,64,10,15,0.02740493,0.05242982134222984,0.02740493044257164,0.0067489045,0.020656027,False,0.0031995466,0.024205383,False,success
24,25,ae1_lat50_hd1_lstm_m20_relu_adam_lr0.001_bs64_mae,1,0.5,1,LSTM,0.2,relu,mae,adam,0.001,64,10,15,0.027415024,0.038148898631334305,0.027415018528699875,0.0067489045,0.020666119,False,0.0031995466,0.024215478,False,success
209,210,ae3_lat75_hd3_lstm_m40_relu_adam_lr0.001_bs64_mae,3,0.75,3,LSTM,0.4,relu,mae,adam,0.001,64,10,15,0.02749845,0.04793785884976387,0.02749844454228878,0.0067489045,0.020749547,False,0.0031995466,0.024298903,False,success
205,206,ae3_lat75_hd2_gru_m40_relu_adam_lr0.001_bs64_mae,3,0.75,2,GRU,0.4,relu,mae,adam,0.001,64,10,15,0.027574778,0.03431707248091698,0.027574773877859116,0.0067489045,0.020825874,False,0.0031995466,0.02437523,False,success
110,111,ae2_lat50_hd2_gru_m60_relu_adam_lr0.001_bs64_mae,2,0.5,2,GRU,0.6,relu,mae,adam,0.001,64,10,15,0.027665922,0.041959747672080994,0.027665918692946434,0.0067489045,0.020917017,False,0.0031995466,0.024466377,False,success
173,174,ae3_lat50_hd1_gru_m40_relu_adam_lr0.001_bs64_mae,3,0.5,1,GRU,0.4,relu,mae,adam,0.001,64,10,15,0.028032584,0.03602131828665733,0.02811523713171482,0.0067489045,0.021283679,False,0.0031995466,0.024833038,False,success
38,39,ae1_lat50_hd2_gru_m60_relu_adam_lr0.001_bs64_mae,1,0.5,2,GRU,0.6,relu,mae,adam,0.001,64,10,15,0.028109133,0.05061997100710869,0.028109131380915642,0.0067489045,0.02136023,False,0.0031995466,0.024909586,False,success
151,152,ae3_lat25_hd1_gru_m80_relu_adam_lr0.001_bs64_mae,3,0.25,1,GRU,0.8,relu,mae,adam,0.001,64,10,15,0.028189499,0.05670245736837387,0.029165102168917656,0.0067489045,0.021440595,False,0.0031995466,0.024989951,False,success
28,29,ae1_lat50_hd1_gru_m20_relu_adam_lr0.001_bs64_mae,1,0.5,1,GRU,0.2,relu,mae,adam,0.001,64,10,15,0.028200453,0.03780915588140488,0.0284586101770401,0.0067489045,0.021451548,False,0.0031995466,0.025000907,False,success
96,97,ae2_lat50_hd1_lstm_m20_relu_adam_lr0.001_bs64_mae,2,0.5,1,LSTM,0.2,relu,mae,adam,0.001,64,10,15,0.028225908,0.03778407350182533,0.028225908055901527,0.0067489045,0.021477003,False,0.0031995466,0.025026362,False,success
